year,stats_before,expect_like,programming_experience,statatt_atf,statatt_atc
3,TRUE,4,2,5.6,3.5555555555555554
3,TRUE,3,3,6.1,2.888888888888889
2,FALSE,4,1,5.6,4.555555555555555
4,FALSE,5,3,5.35,4.777777777777778
2,FALSE,5,1,6.3,6.222222222222222
5+,FALSE,3,4,6.65,5.111111111111111
3,FALSE,2,1,4.95,2.6666666666666665
1,FALSE,4,1,4.45,4.111111111111111
2,FALSE,5,1,6.15,4.555555555555555
2,TRUE,2,2,4.9,2
2,FALSE,4,1,5.1,2.4444444444444446
3,FALSE,6,1,6.6,2.6666666666666665
2,FALSE,3,1,4,2.888888888888889
1,FALSE,4,2,5.95,3.4444444444444446
1,FALSE,4,2,6.2,3.888888888888889
2,TRUE,5,2,6.3,5.222222222222222
2,FALSE,5,4,6.2,4.333333333333333
2,TRUE,2,3,6,3.4444444444444446
3,FALSE,5,1,4.05,2.2222222222222223
2,TRUE,3,2,5.25,1.5555555555555556
3,FALSE,2,1,4.95,1.6666666666666667
1,FALSE,4,1,5.3,1.6666666666666667
3,FALSE,4,2,3.7,3.2222222222222223
4,FALSE,3,3,4.85,3.2222222222222223
2,FALSE,4,2,5.45,3.111111111111111
3,TRUE,5,4,6.3,4.111111111111111
3,FALSE,5,3,6.05,3.2222222222222223
4,FALSE,5,5,5.65,4.555555555555555
4,FALSE,4,2,6.1,3
2,FALSE,4,1,5.3,5.444444444444445
3,FALSE,3,1,5.75,2.2222222222222223
3,TRUE,7,5,6.6,7
2,FALSE,3,2,5,4.111111111111111
4,TRUE,5,1,NA,4.222222222222222
3,TRUE,5,4,5.1,3.6666666666666665
2,FALSE,4,1,6.05,4.333333333333333
1,TRUE,5,2,6.9,3.5555555555555554
2,TRUE,5,3,6.25,6.777777777777778
3,FALSE,4,1,4.75,2.7777777777777777
3,FALSE,4,1,5.65,5.333333333333333
2,TRUE,5,1,4.95,5.777777777777778
2,FALSE,6,1,5.8,4.666666666666667
2,FALSE,3,1,4.6,2.888888888888889
2,TRUE,5,3,5,2.888888888888889
2,FALSE,4,4,5.65,5.777777777777778
2,FALSE,6,1,6.2,5.777777777777778
3,FALSE,1,1,3.85,1
2,TRUE,5,3,5.5,5
3,FALSE,5,2,5.95,5.444444444444445
2,FALSE,2,3,5.9,2.6666666666666665
4,FALSE,4,6,5.95,4.777777777777778
5+,TRUE,2,3,5.8,3.3333333333333335
4,FALSE,2,1,4.3,2.4444444444444446
2,FALSE,3,1,5.8,2.7777777777777777
3,FALSE,2,1,4.75,2.6666666666666665
2,FALSE,2,1,4.65,3.111111111111111
Graduate student,TRUE,4,4,6.4,4.888888888888889
4,FALSE,4,2,5.45,4.111111111111111
3,FALSE,3,1,3.5,2
2,FALSE,4,2,5.3,4.444444444444445
1,FALSE,5,1,5.9,4.333333333333333
2,FALSE,3,2,5.6,3
Graduate student,FALSE,1,1,6.1,1.7777777777777777
3,FALSE,4,1,5.4,3.888888888888889
Graduate student,TRUE,3,2,5.6,2.888888888888889
Graduate student,TRUE,4,1,5.75,4.888888888888889
Graduate student,TRUE,4,1,5.75,4.888888888888889
3,FALSE,3,2,5.45,4.666666666666667
1,FALSE,5,3,6.35,5.111111111111111
2,TRUE,2,1,5.5,2.5555555555555554
4,FALSE,5,4,5,4.222222222222222
4,TRUE,3,2,4.2,2.888888888888889
2,FALSE,4,1,5.25,5.222222222222222
4,FALSE,2,1,5.35,NA
3,FALSE,5,5,6.1,3.4444444444444446
2,TRUE,4,4,5.9,4.888888888888889
2,FALSE,5,4,5.65,5.666666666666667
2,FALSE,6,1,6.8,4.333333333333333
3,TRUE,2,2,4.25,3.7777777777777777
4,TRUE,6,5,6.7,6.111111111111111
4,TRUE,6,1,6.1,4.888888888888889
2,FALSE,1,1,4,4
1,TRUE,4,1,NA,3.6666666666666665
2,FALSE,4,1,6.05,3.4444444444444446
1,FALSE,3,1,4.65,2.4444444444444446
3,FALSE,2,1,4.8,2.7777777777777777
3,TRUE,6,4,5.2,6
3,TRUE,5,3,5.35,4.888888888888889
3,TRUE,4,2,5.7,4.888888888888889
1,TRUE,5,4,5.25,5.888888888888889
2,TRUE,4,2,5.1,3.888888888888889
1,FALSE,4,1,5.65,4.333333333333333
3,FALSE,3,2,4.75,3.7777777777777777
2,FALSE,3,1,3.9,2.3333333333333335
3,TRUE,6,2,5.35,5.111111111111111
3,FALSE,2,3,4.55,2
3,FALSE,3,1,4.55,1.5555555555555556
1,FALSE,4,1,6.05,3.6666666666666665
1,TRUE,4,1,5.4,4.222222222222222
4,TRUE,2,2,4,3
1,FALSE,4,1,5.65,4.222222222222222
1,FALSE,6,1,4.95,4.888888888888889
3,FALSE,1,1,4.7,1.5555555555555556
3,FALSE,1,4,3.2,3.111111111111111
2,TRUE,2,1,5,2.111111111111111
1,TRUE,5,1,5,5
4,FALSE,2,2,4.8,1.8888888888888888
4,FALSE,4,3,4,4
4,FALSE,2,3,4.4,3.4444444444444446
4,TRUE,4,2,6.55,3.3333333333333335
2,FALSE,2,1,5.45,1.7777777777777777
3,FALSE,4,1,5.25,3.5555555555555554
2,FALSE,4,1,4.6,4.666666666666667
4,FALSE,4,5,7,6.333333333333333
2,FALSE,5,1,6.45,4.666666666666667
3,TRUE,6,6,6.85,6.333333333333333
4,FALSE,3,1,6.3,NA
2,TRUE,4,2,5.5,4.666666666666667
2,FALSE,6,4,6.25,6
2,FALSE,3,1,5.9,5.555555555555555
2,TRUE,4,2,6.75,4.888888888888889
3,FALSE,5,2,5.55,4.888888888888889
4,FALSE,4,2,5,4.222222222222222
2,FALSE,3,3,6.4,2.6666666666666665
4,FALSE,5,2,6.05,3.2222222222222223
2,TRUE,5,1,5.05,5.555555555555555
2,FALSE,4,5,5.4,4.222222222222222
2,FALSE,5,3,6.2,4.888888888888889
2,TRUE,5,2,5.3,4.777777777777778
1,FALSE,3,2,6.5,3.4444444444444446
4,FALSE,5,3,5.55,5.111111111111111
2,FALSE,5,2,5.45,5.555555555555555
4,TRUE,5,2,6.2,5.333333333333333
3,FALSE,5,1,5.5,3.6666666666666665
1,FALSE,5,3,6.5,3.3333333333333335
4,FALSE,5,2,6.1,4.333333333333333
3,FALSE,5,2,NA,2.7777777777777777
4,FALSE,5,2,5.75,4.888888888888889
5+,FALSE,5,3,4.5,5.111111111111111
4,FALSE,3,1,6.45,3.6666666666666665
4,FALSE,5,4,4.8,5.111111111111111
2,FALSE,3,1,4,2.888888888888889
4,FALSE,4,4,5.55,5.777777777777778
1,TRUE,5,1,6.8,4.666666666666667
4,FALSE,3,4,5.65,4.333333333333333
1,TRUE,5,1,4.2,4.222222222222222
1,TRUE,5,1,6.85,6
4,FALSE,4,3,4.4,2.888888888888889
1,FALSE,4,3,5.55,3.7777777777777777
1,TRUE,5,1,5.25,4.666666666666667
3,TRUE,4,5,5.55,5.777777777777778
3,FALSE,4,3,5,4.555555555555555
3,FALSE,3,1,4.4,2.888888888888889
3,FALSE,2,2,4.4,3.3333333333333335
2,FALSE,4,4,4.9,4
2,TRUE,2,2,4.6,1.8888888888888888
4,FALSE,1,1,5.25,2.6666666666666665
3,FALSE,3,1,5.35,2.5555555555555554
1,FALSE,5,1,5.5,6.222222222222222
Graduate student,FALSE,5,1,6.3,3.7777777777777777
3,FALSE,5,1,NA,2.3333333333333335
